model1,model2,p value,cohen value
1EKNNMushroom33,dtMushroom33,0.031046781145641307,0.7400143068831969
1EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-4.462194439296674
1EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,7.12274633107295
1MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-4.6094214625437555
1MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,8.069575309820957
5EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-5.313152014096854
5EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,7.11386209625182
5MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-4.832938491114603
5MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,6.898742461692673
10EKNNMushroom33,dtMushroom33,0.006898647100946128,-1.1802691805041046
10EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-5.8128298405003145
10EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,5.275258515960384
10MKNNMushroom33,dtMushroom33,0.006898647100946128,-1.4517717635273086
10MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-6.141744033645944
10MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,6.66659582283365
15EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-5.223168342917052
15EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,7.954482952578678
15MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-5.560703450458662
15MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,7.889503532510081
20EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-4.721965754825006
20EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,4.926394918835367
20MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-5.492372250701216
20MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,7.0296918749930075
30EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-4.881488345576365
30EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,9.675402307008158
30MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-4.157784997815377
30MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,4.605183508463357
50EKNNMushroom33,dtMushroom33,0.00017011925273829754,2.169374210006262
50EKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-3.8191282840431247
50EKNNMushroom33,svmMushroom33,1.8879793657162556e-05,10.558352097381087
50MKNNMushroom33,dtMushroom33,0.0012162112998959323,1.6350052262662895
50MKNNMushroom33,nbMushroom33,1.8879793657162556e-05,-3.659724381988653
50MKNNMushroom33,svmMushroom33,1.8879793657162556e-05,7.435216292687085
1EKNNGlass33,nbGlass33,0.00017011925273829754,-1.7365042047733406
1EKNNGlass33,svmGlass33,0.031046781145641307,-0.8663334057726871
1MKNNGlass33,nbGlass33,1.8879793657162556e-05,-2.2646672806899466
1MKNNGlass33,svmGlass33,0.006898647100946128,-1.4295089914428802
5EKNNGlass33,nbGlass33,0.0012162112998959323,-1.649660780091361
5EKNNGlass33,svmGlass33,0.031046781145641307,-0.7206357963532717
5MKNNGlass33,nbGlass33,0.0012162112998959323,-1.6505999268548208
5MKNNGlass33,svmGlass33,0.031046781145641307,-0.6479445889716275
10EKNNGlass33,nbGlass33,0.031046781145641307,-1.213368321926849
10MKNNGlass33,nbGlass33,0.006898647100946128,-1.4245237972601588
15EKNNGlass33,nbGlass33,0.0012162112998959323,-1.447743964481514
15MKNNGlass33,nbGlass33,0.031046781145641307,-1.182947884352115
20MKNNGlass33,dtGlass33,0.031046781145641307,0.9373263444038299
20MKNNGlass33,nbGlass33,0.031046781145641307,-1.0031093764505437
30EKNNGlass33,dtGlass33,0.00017011925273829754,1.2091951237367684
30EKNNGlass33,svmGlass33,0.006898647100946122,0.9340861543832535
30MKNNGlass33,dtGlass33,0.0012162112998959323,1.6390533628994177
50EKNNGlass33,dtGlass33,1.8879793657162556e-05,3.881603588125577
50EKNNGlass33,nbGlass33,0.0012162112998959323,2.155679560609819
50EKNNGlass33,svmGlass33,1.8879793657162556e-05,3.2567900146884483
50MKNNGlass33,dtGlass33,1.8879793657162556e-05,2.6997140697255215
50MKNNGlass33,nbGlass33,0.031046781145641307,1.3801205835927863
50MKNNGlass33,svmGlass33,1.8879793657162556e-05,2.252462030449269
1EKNNAppendicitis33,nbAppendicitis33,0.031046781145641363,-0.9162962777909728
5EKNNAppendicitis33,dtAppendicitis33,0.031046781145641363,-0.9489375882458719
5EKNNAppendicitis33,nbAppendicitis33,0.006898647100946122,-1.0688687878225371
5MKNNAppendicitis33,nbAppendicitis33,0.031046781145641363,-0.9462446734664169
50EKNNAppendicitis33,dtAppendicitis33,0.031046781145641363,-0.6018952964711827
50MKNNAppendicitis33,dtAppendicitis33,0.031046781145641363,-0.5719549063922689
