model1,model2,p value,cohen value
1EKNNMushroom20,30EKNNMushroom20,2.6088073179661077e-05,-2.8057300655280875
1EKNNMushroom20,50EKNNMushroom20,1.743369084629922e-05,-3.313694476871508
5EKNNMushroom20,30EKNNMushroom20,0.00015179333610859072,-2.03633957234495
5EKNNMushroom20,50EKNNMushroom20,6.23897536505928e-06,-3.00671604238718
10EKNNMushroom20,15EKNNMushroom20,0.016413898411679232,-1.258625816806444
10EKNNMushroom20,20EKNNMushroom20,0.0005052980313681028,-1.42725622691999
10EKNNMushroom20,30EKNNMushroom20,6.49094790063089e-05,-3.584344475292304
10EKNNMushroom20,50EKNNMushroom20,2.9066987838119454e-06,-3.677984075862301
15EKNNMushroom20,30EKNNMushroom20,1.0462256248823847e-05,-3.084145640380201
15EKNNMushroom20,50EKNNMushroom20,9.604221703929856e-06,-3.300417387970005
20EKNNMushroom20,30EKNNMushroom20,0.01859659868926349,-1.3059549504126517
20EKNNMushroom20,50EKNNMushroom20,7.795531377865189e-05,-2.5655645650700274
30EKNNMushroom20,50EKNNMushroom20,0.0013784613339672402,-1.9458614589096304
1MKNNMushroom20,10MKNNMushroom20,0.007807106595871692,0.8706771268856154
1MKNNMushroom20,30MKNNMushroom20,0.0003333048407211171,-1.7682454612772274
1MKNNMushroom20,50MKNNMushroom20,6.1624948014312174e-09,-4.255000895338933
5MKNNMushroom20,10MKNNMushroom20,0.006671126038240646,0.8547865776394346
5MKNNMushroom20,30MKNNMushroom20,0.0003671348838684963,-1.934401197529804
5MKNNMushroom20,50MKNNMushroom20,3.957754469644283e-08,-4.574640623242855
10MKNNMushroom20,15MKNNMushroom20,0.013723207149462967,-0.8949696306781763
10MKNNMushroom20,20MKNNMushroom20,0.011285854141521348,-0.918300535292634
10MKNNMushroom20,30MKNNMushroom20,4.457556447385214e-05,-2.5724880857021417
10MKNNMushroom20,50MKNNMushroom20,3.1764890383948977e-12,-5.078481069874424
15MKNNMushroom20,30MKNNMushroom20,0.0026848748306034093,-1.6606595376058872
15MKNNMushroom20,50MKNNMushroom20,6.717038265285146e-07,-4.0618845314279755
20MKNNMushroom20,30MKNNMushroom20,0.0003716495523846181,-1.3910835378190336
20MKNNMushroom20,50MKNNMushroom20,1.302900727395544e-06,-3.547835402299973
30MKNNMushroom20,50MKNNMushroom20,0.0001221914594821752,-2.2752370398254804
1EKNNGlass20,5EKNNGlass20,0.021823449616678852,-1.147441258835581
1EKNNGlass20,10EKNNGlass20,0.002015141755070677,-1.6626631031902874
1EKNNGlass20,15EKNNGlass20,0.003243056977377599,-1.7265538573582282
