;Metric;Neighbours;Nursery;Poker;Market
KNN;euclidean;1;0.4208;;0.28621
;;;0.42021;;0.28156
;;;0.42330;;0.28214
;;;0.41774;;0.28418
;;;0.42083;;0.27051
;;;0.42608;;0.28854
;;;0.42206;;0.28360
;;;0.42037;;0.27400
;;;0.42638;;0.26498
;;;0.41759;;0.28098
KNN;euclidean;5;0.52021;;0.30396
;;;0.51126;;0.30163
;;;0.50308;;0.29930
;;;0.50000;;0.29407
;;;0.50663;;0.29872
;;;0.50401;;0.30657
;;;0.51342;;0.29319
;;;0.51342;;0.29639
;;;0.50447;;0.29378
;;;0.51188;;0.30076
KNN;euclidean;10;0.53796;;0.30570
;;;0.54567;;0.31414
;;;0.54521;;0.30832
;;;0.53564;;0.30977
;;;0.53796;;0.30890
;;;0.54984;;0.30890
;;;0.53904;;0.30919
;;;0.53672;;0.30919
;;;0.53410;;0.31094
;;;0.53950;;0.30541
KNN;euclidean;15;0.55802;;0.32373
;;;0.54737;;0.31617
;;;0.54614;;0.30745
;;;0.54768;;0.31239
;;;0.55416;;0.31850
;;;0.55077;;0.31559
;;;0.55108;;0.31879
;;;0.55216;;0.31734
;;;0.54861;;0.31123
;;; 0.55030;;0.32286
KNN;euclidean;20;0.56018;;0.32024
;;;0.55895;;0.32723
;;;0.55987;;0.31239
;;;0.55787;;0.32286
;;;0.55740;;0.32054
;;;0.55447;;0.30599
;;;0.54891;;0.32490
;;;0.54907;;0.30686
;;;0.56049;;0.32664
;;;0.55740;;0.30541
KNN;euclidean;30;0.56651;;0.33130
;;;0.55740;;0.32810
;;;0.56435;;0.31617
;;;0.55756;;0.32054
;;;0.56697;;0.32519
;;;0.56851;;0.32519
;;;0.56836;;0.33304
;;;0.57129;;0.31966
;;;0.56882;;0.33042
;;;0.56049;;0.32170
KNN;euclidean;50;0.56882;;0.31850
;;;0.55848;;0.33072
;;;0.56651;;0.32664
;;;0.56805;;0.32693
;;;0.56774;;0.33915
;;;0.56558;;0.31937
;;;0.56419;;0.32839
;;;0.56743;;0.32723
;;;0.56358;;0.33479
;;;0.56481;;0.31792
KNN;euclidean;100;0.57330;;0.32024
;;;0.57345;;0.33333
;;;0.57453;;0.33101
;;;0.57808;;0.32635
;;;0.57793;;0.33799
;;;0.57376;;0.32781
;;;0.57762;;0.32490
;;;0.57685;;0.33042
;;;0.57361;;0.32519
;;;0.57978;;0.33392
KNN;euclidean;150;0.56558;;0.31646
;;;0.58441;;0.32897
;;;0.57330;;0.32752
;;;0.56851;;0.32054
;;;0.56419;;0.31414
;;;0.57839;;0.32781
;;;0.57901;;0.32548
;;;0.57592;;0.32955
;;;0.56975;;0.33188
;;;0.57299;;0.31268
KNN;minkowski;1;0.42777;;0.28069
;;; 0.42361;;0.27341
;;;0.42206;;0.27283
;;;0.42669;;0.28243
;;;0.41604;;0.27691
;;; 0.41141;;0.27865
;;; 0.41805;;0.27720
;;;0.41805;;0.27022
;;;0.41620;;0.27720
;;;0.41913;;0.27051
KNN;minkowski;5;0.51651;;0.30017
