model1,model2,p value,cohen value
1EKNNMushroom10,15EKNNMushroom10,0.017361595119902814,-0.9950591766197272
1EKNNMushroom10,20EKNNMushroom10,0.0455539201464913,-1.039881728951824
1EKNNMushroom10,30EKNNMushroom10,0.0005194318660105916,-2.2292224584217766
1EKNNMushroom10,50EKNNMushroom10,1.9731155225927023e-09,-6.436825658631144
5EKNNMushroom10,10EKNNMushroom10,0.03738345047077531,-0.7183560169829379
5EKNNMushroom10,15EKNNMushroom10,0.014745605402580552,-1.0609237516818508
5EKNNMushroom10,20EKNNMushroom10,0.026212469066227578,-1.0673016865305278
5EKNNMushroom10,30EKNNMushroom10,4.335732336955977e-06,-2.3686731978577815
5EKNNMushroom10,50EKNNMushroom10,2.6216664487364483e-10,-7.981116488569255
10EKNNMushroom10,30EKNNMushroom10,0.00014300146835161392,-2.060804989719317
10EKNNMushroom10,50EKNNMushroom10,7.177182664492561e-09,-8.00978278590043
15EKNNMushroom10,30EKNNMushroom10,0.003623541473329174,-1.6682148993690051
15EKNNMushroom10,50EKNNMushroom10,1.8546193377741913e-10,-6.625475990202694
20EKNNMushroom10,30EKNNMushroom10,0.007330538124055753,-1.4071981636019801
20EKNNMushroom10,50EKNNMushroom10,2.9011230459359194e-07,-5.4828866219379595
30EKNNMushroom10,50EKNNMushroom10,2.8330872186312906e-05,-2.8064158839913866
1MKNNMushroom10,5MKNNMushroom10,0.019560026606521928,-1.2433856562769174
1MKNNMushroom10,10MKNNMushroom10,0.005321818268565229,-1.2258975053898635
1MKNNMushroom10,15MKNNMushroom10,0.0023778473906495463,-1.6299337571679324
1MKNNMushroom10,20MKNNMushroom10,0.005387756019681714,-1.6836738308180208
1MKNNMushroom10,30MKNNMushroom10,2.3800471432364178e-05,-2.7560150375427934
1MKNNMushroom10,50MKNNMushroom10,2.9019929765431304e-08,-5.927408397268503
5MKNNMushroom10,20MKNNMushroom10,0.018075165077563116,-1.075766390162673
5MKNNMushroom10,30MKNNMushroom10,0.0003779757218519455,-2.299062882337317
5MKNNMushroom10,50MKNNMushroom10,2.1095429123134116e-07,-5.367150712319177
10MKNNMushroom10,30MKNNMushroom10,0.00042441424035996426,-1.9700819908427036
10MKNNMushroom10,50MKNNMushroom10,1.4279513439078303e-07,-4.723176782261555
15MKNNMushroom10,30MKNNMushroom10,0.0007192544181726026,-1.8700725610324676
15MKNNMushroom10,50MKNNMushroom10,2.9192163003792624e-07,-4.6780915644801455
20MKNNMushroom10,30MKNNMushroom10,0.018622603517922866,-1.257421453784192
20MKNNMushroom10,50MKNNMushroom10,1.6998317869233927e-05,-3.5717297693594183
30MKNNMushroom10,50MKNNMushroom10,0.0006618219655341879,-1.8673319342679187
1EKNNGlass10,5EKNNGlass10,0.009572435137959323,-1.4268452432566732
1EKNNGlass10,10EKNNGlass10,0.0190541206507817,-1.112922410972512
1EKNNGlass10,15EKNNGlass10,8.15746613669477e-07,-2.5264336095426407
1EKNNGlass10,20EKNNGlass10,0.0005270167590692823,-2.5000650676267737
1EKNNGlass10,30EKNNGlass10,4.703884384933248e-05,-3.0079906513478445
1EKNNGlass10,50EKNNGlass10,1.2095653359814642e-05,-3.530475451920067
5EKNNGlass10,30EKNNGlass10,0.0006287061491600576,-1.7119506728127571
5EKNNGlass10,50EKNNGlass10,1.2978411251183188e-05,-2.9828088779874413
10EKNNGlass10,30EKNNGlass10,0.0031693512830617927,-1.603340297976169
10EKNNGlass10,50EKNNGlass10,2.118949671973451e-05,-2.9348508547903136
15EKNNGlass10,30EKNNGlass10,0.007081357519849989,-1.3831883679425774
15EKNNGlass10,50EKNNGlass10,0.00010452254758180846,-2.820518868224402
20EKNNGlass10,30EKNNGlass10,0.00014448584324965497,-1.6335563611198205
20EKNNGlass10,50EKNNGlass10,2.7572957544758016e-05,-2.9319813971293076
30EKNNGlass10,50EKNNGlass10,0.0003324679698104003,-2.0575776633977267
1MKNNGlass10,5MKNNGlass10,0.021033143583406296,-1.0419157040438989
1MKNNGlass10,10MKNNGlass10,0.044330061467305504,-1.0721108082709156
1MKNNGlass10,15MKNNGlass10,0.006614426610887498,-1.5885236578965465
1MKNNGlass10,20MKNNGlass10,0.00484423821085172,-1.4296822601044816
1MKNNGlass10,30MKNNGlass10,0.0007466993674027884,-2.1929084703979496
1MKNNGlass10,50MKNNGlass10,0.00014016917486307903,-2.3621537662711884
5MKNNGlass10,20MKNNGlass10,0.009223062673535658,-0.5390522465362466
5MKNNGlass10,30MKNNGlass10,0.004035793848843066,-1.4913937821817096
5MKNNGlass10,50MKNNGlass10,0.0004057919476169497,-2.066380465207449
10MKNNGlass10,30MKNNGlass10,0.0008782208785283809,-1.3368399602498033
10MKNNGlass10,50MKNNGlass10,0.0005338711569495115,-2.01179874656653
15MKNNGlass10,30MKNNGlass10,0.014229371371798989,-1.0087514134890687
15MKNNGlass10,50MKNNGlass10,0.0004085541683131898,-1.8692772948060705
20MKNNGlass10,30MKNNGlass10,0.03981793484703894,-0.9860080349192526
20MKNNGlass10,50MKNNGlass10,0.0010678725848881712,-1.8631364464105125
30MKNNGlass10,50MKNNGlass10,0.001979654637613838,-1.385638855220285
1EKNNAppendicitis10,50EKNNAppendicitis10,0.02893887626565772,-0.7726666036437051
5EKNNAppendicitis10,20EKNNAppendicitis10,0.049422384216928524,-1.0186477253762012
5EKNNAppendicitis10,30EKNNAppendicitis10,0.019425759920766134,-0.8906069697762906
5EKNNAppendicitis10,50EKNNAppendicitis10,0.045105640042625156,-0.9907019033649035
1MKNNAppendicitis10,15MKNNAppendicitis10,0.013332750234853542,-0.6661679192887797
1MKNNAppendicitis10,50MKNNAppendicitis10,0.04008212098552951,-1.0185422368052306
5MKNNAppendicitis10,15MKNNAppendicitis10,0.019341020417413604,-1.036510186504289
5MKNNAppendicitis10,20MKNNAppendicitis10,0.0310435095053879,-1.0699740727325422
5MKNNAppendicitis10,30MKNNAppendicitis10,0.0429793417434982,-1.1609161859978507
5MKNNAppendicitis10,50MKNNAppendicitis10,0.0011855218141799237,-1.436984407052399
