Cap-shape, Cap-surface, Cap-color, Bruises, Odor, Gill-attachment, Gill-spacing, Gill-size, Gill-color, Stalk-shape, Stalk-root, Stalk-surface-above-ring, Stalk-surface-below-ring, Stalk-color-above-ring, Stalk-color-below-ring, Veil-type, Veil-color, Ring-number, Ring-type, Spore-print-color, Population, Habitat,Class
0,0,0,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,0,0,p
0,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
1,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
0,1,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,0,0,0,p
0,0,3,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
1,0,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
1,1,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
0,1,2,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,0,3,1,p
1,0,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
0,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
1,0,1,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
0,1,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
0,2,0,0,3,0,1,1,1,1,0.0,2,0,0,0,1,0,2,1,0,2,1,e
2,2,3,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
3,2,2,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
0,0,0,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,0,0,1,p
0,1,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
0,0,0,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
1,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
0,1,0,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,3,1,p
1,1,1,1,2,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
1,1,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
1,0,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
3,0,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,3,1,p
0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
0,1,2,1,2,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
3,2,0,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,4,0,e
0,0,1,1,1,0,1,0,1,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
1,0,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
0,1,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
0,1,1,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
0,1,0,1,2,0,0,1,10,0,3.0,2,3,0,0,1,0,2,0,1,4,4,e
1,1,1,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
0,2,1,1,2,0,1,0,2,1,2.0,2,2,0,0,1,0,2,0,1,3,3,e
2,2,3,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,0,3,0,e
0,1,0,1,0,0,0,0,2,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
