,Cap-shape, Cap-surface, Cap-color, Bruises, Odor, Gill-attachment, Gill-spacing, Gill-size, Gill-color, Stalk-shape, Stalk-root, Stalk-surface-above-ring, Stalk-surface-below-ring, Stalk-color-above-ring, Stalk-color-below-ring, Veil-type, Veil-color, Ring-number, Ring-type, Spore-print-color, Population, Habitat,Class
0,2,1,4,0,-3,4,3,1,0,-3,-2.0,2,4,2,-6,5,1,-5,-3,2,0,-2,p
1,0,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
2,1,0,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
3,0,1,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,0,0,0,p
4,0,0,3,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
5,0,1,1,1,1,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,0,1,1,e
6,1,0,2,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,1,2,e
7,1,1,2,1,2,0,0,1,1,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
8,0,1,2,1,0,0,0,0,10,0,0.0,2,2,0,0,1,0,2,0,0,3,1,p
9,1,0,1,1,1,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
10,0,1,1,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,1,1,1,e
11,5,-2,2,-5,-5,-1,-2,5,-4,1,-2.0,-4,-1,1,0,1,2,1,2,0,5,2,e
12,1,0,1,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,0,1,e
13,0,1,2,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,3,0,p
14,0,2,0,0,3,0,1,1,1,1,0.0,2,0,0,0,1,0,2,1,0,2,1,e
15,2,2,3,0,3,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,4,0,e
16,3,2,2,0,3,0,1,1,0,1,0.0,2,2,0,0,1,0,2,1,1,2,1,e
17,0,0,0,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,0,0,1,p
18,0,1,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
19,0,0,0,1,0,0,0,0,0,0,0.0,2,2,0,0,1,0,2,0,1,0,0,p
20,1,0,1,1,1,0,0,1,0,0,1.0,2,2,0,0,1,0,2,0,1,0,2,e
21,0,1,0,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,3,1,p
22,0,4,-2,4,4,-6,1,-2,4,-5,4.0,-1,-6,1,-7,-2,5,-1,4,1,0,2,e
23,1,1,2,1,1,0,0,1,2,0,1.0,2,2,0,0,1,0,2,0,1,1,2,e
24,1,0,2,1,2,0,0,1,9,0,1.0,2,2,0,0,1,0,2,0,0,0,2,e
25,3,0,2,1,0,0,0,0,1,0,0.0,2,2,0,0,1,0,2,0,1,3,1,p
