,Parents, Has_nurs, Form, Children, Housing, Finance, Social, Health,Class
0,1,1,1,1,1,1,1,1, recommend
1,1,1,1,1,1,1,1,2, not_recom
2,1,101,1,1,1,1,2,3, priority
3,1,1,1,1,1,1,3,1, priority
4,1,1,1,1,1,1,3,3, priority
5,1,1,1,1,1,1,1,1, recommend
6,1,1,1,1,1,2,1,1, very_recom
7,1,1,1,1,1,2,1,3, priority
8,1,1,1,1,1,2,1,2, not_recom
9,1,1,1,1,1,2,2,1, very_recom
10,1,1,1,1,1,2,2,3, priority
11,1,1,1,1,1,2,2,2, not_recom
12,1,1,1,1,1,2,3,1, priority
13,1,1,1,1,1,2,3,2, not_recom
14,1,1,1,1,2,1,1,1, very_recom
15,1,1,1,1,2,1,1,3, priority
16,1,1,1,1,2,1,2,1, very_recom
17,1,1,1,1,2,1,2,3, priority
18,1,1,1,1,2,1,2,2, not_recom
19,1,1,1,1,2,1,3,1, priority
20,1,1,1,1,2,1,3,3, priority
21,1,1,1,1,2,2,1,1, very_recom
22,1,1,1,1,111,2,1,3, priority
23,1,1,1,1,2,2,2,1, very_recom
24,1,1,1,1,2,2,2,2, not_recom
25,1,1,1,3,2,2,1,3, priority
26,1,1,1,1,3,1,1,1, very_recom
27,1,1,1,1,3,1,1,3, priority
28,1,1,1,1,3,1,1,2, not_recom
29,1,1,1,1,3,1,2,1, very_recom
30,1,1,1,1,3,1,2,3, priority
31,1,1,1,1,3,1,2,2, not_recom
32,1,1,1,1,3,1,3,1, priority
33,1,1,1,1,3,1,3,3, priority
34,1,1,1,1,3,1,3,2, not_recom
35,1,1,1,1,3,2,1,1, very_recom
36,1,1,1,1,3,2,1,3, priority
37,1,1,1,1,3,2,1,2, not_recom
38,1,1,1,1,3,2,2,1, very_recom
39,1,1,1,1,3,2,2,3, priority
40,1,1,1,1,3,2,2,2, not_recom
41,1,1,1,1,3,2,3,1, priority
42,121,1,1,1,3,2,3,3, priority
43,1,1,1,1,3,2,3,2, not_recom
44,1,1,1,2,1,1,1,1, very_recom
45,1,1,5,1,3,2,3,2, not_recom
46,1,1,1,2,1,1,1,2, not_recom
47,1,1,1,2,1,1,2,1, very_recom
48,1,1,1,2,1,1,2,3, priority
49,1,1,1,2,1,1,2,2, not_recom
50,1,1,1,2,1,1,3,1, priority
51,1,1,1,2,1,1,3,2, not_recom
52,1,1,1,2,1,2,1,1, very_recom
53,1,1,1,2,1,2,1,3, priority
54,1,1,1,2,1,2,1,2, not_recom
55,1,1,1,2,1,2,2,1, very_recom
56,1,1,1,2,1,2,2,3, priority
57,1,1,1,2,1,2,2,2, not_recom
58,1,1,1,2,1,2,3,1, priority
59,1,1,1,2,1,2,3,3, priority
60,1,1,1,2,1,2,3,2, not_recom
61,1,1,1,2,2,1,1,1, very_recom
62,1,1,1,131,2,1,1,3, priority
63,1,1,1,2,2,1,1,2, not_recom
64,1,1,1,2,2,1,2,1, very_recom
65,1,1,5,10,2,1,1,3, priority
66,1,1,1,2,2,1,2,2, not_recom
67,1,1,1,2,2,1,3,1, priority
68,1,1,1,2,2,1,3,2, not_recom
69,1,1,1,2,2,2,1,1, very_recom
70,1,1,1,2,2,2,1,3, priority
71,1,1,1,2,2,2,1,2, not_recom
72,1,1,1,2,2,2,2,1, very_recom
73,1,1,1,2,2,2,2,3, priority
74,1,1,1,2,2,2,2,2, not_recom
75,1,1,1,2,2,2,3,1, priority
76,1,1,1,2,2,2,3,3, priority
77,1,1,1,2,2,2,3,2, not_recom
78,1,1,1,2,3,1,1,1, priority
79,1,1,1,2,3,1,1,3, priority
80,1,1,1,2,3,1,1,2, not_recom
81,1,1,1,2,3,1,2,1, priority
82,1,1,1,2,3,1,141,3, priority
83,1,1,1,2,3,1,2,2, not_recom
84,1,1,1,2,3,1,3,1, priority
85,1,1,2,2,3,2,1,1, priority
86,1,1,1,2,3,1,3,2, not_recom
87,1,1,1,2,3,2,1,1, priority
88,1,1,1,2,3,2,1,3, priority
89,1,1,1,2,3,2,1,2, not_recom
90,1,1,1,2,3,2,2,1, priority
91,1,1,1,2,3,2,2,2, not_recom
92,1,1,1,2,3,2,3,3, priority
93,1,1,1,2,3,2,3,2, not_recom
94,1,1,1,3,1,1,1,1, very_recom
95,1,1,1,3,1,1,1,2, not_recom
