,Sex, MaritalStatus, Age, Education, Occupation, YearsInSf, DualIncome, HouseholdMembers, Under18, HouseholdStatus, TypeOfHome, EthnicClass, Language,Class
0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,1.0,1.0,7.0,1.0,9.0
1,2.0,1.0,3.0,5.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,7.0,1.0,9.0
2,101.0,5.0,1.0,2.0,6.0,5.0,1.0,4.0,2.0,3.0,1.0,7.0,1.0,1.0
3,2.0,5.0,1.0,2.0,6.0,3.0,1.0,4.0,2.0,3.0,1.0,7.0,1.0,1.0
4,1.0,1.0,6.0,4.0,8.0,5.0,3.0,2.0,0.0,1.0,1.0,7.0,1.0,8.0
5,1.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,1.0,1.0,7.0,1.0,9.0
6,1.0,3.0,3.0,4.0,3.0,5.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,6.0
7,1.0,1.0,6.0,3.0,8.0,5.0,3.0,3.0,0.0,2.0,3.0,7.0,1.0,2.0
8,1.0,1.0,7.0,4.0,8.0,4.0,3.0,2.0,0.0,2.0,3.0,7.0,1.0,4.0
9,1.0,5.0,2.0,4.0,9.0,5.0,1.0,1.0,0.0,2.0,3.0,7.0,1.0,1.0
10,2.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,0.0,1.0,1.0,5.0,1.0,4.0
11,2.0,1.0,3.0,6.0,6.0,2.0,2.0,4.0,2.0,1.0,1.0,7.0,1.0,8.0
12,2.0,1.0,5.0,3.0,5.0,5.0,3.0,4.0,0.0,2.0,1.0,7.0,1.0,7.0
13,2.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,7.0,1.0,7.0
14,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,7.0,1.0,1.0
15,2.0,1.0,5.0,3.0,5.0,1.0,3.0,2.0,0.0,2.0,3.0,7.0,1.0,8.0
16,1.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,0.0,2.0,3.0,7.0,1.0,2.0
17,2.0,1.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,1.0,1.0,5.0,2.0,9.0
18,1.0,1.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,7.0,1.0,8.0
19,2.0,3.0,5.0,4.0,2.0,3.0,1.0,3.0,0.0,2.0,5.0,7.0,1.0,4.0
20,2.0,5.0,1.0,2.0,6.0,5.0,1.0,4.0,1.0,3.0,1.0,7.0,1.0,1.0
21,1.0,1.0,3.0,5.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,7.0,1.0,9.0
22,1.0,1.0,4.0,4.0,1.0,5.0,2.0,3.0,0.0,1.0,1.0,7.0,1.0,7.0
23,1.0,1.0,4.0,4.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,7.0,1.0,9.0
24,2.0,3.0,7.0,3.0,8.0,5.0,1.0,1.0,0.0,1.0,5.0,7.0,1.0,4.0
